iter	Passed	Remaining
658	1060	548
659	1062	547
660	1063	545
661	1065	543
662	1066	542
663	1068	540
664	1069	538
665	1071	537
666	1073	535
667	1074	534
668	1076	532
669	1077	530
670	1079	529
671	1081	527
672	1083	526
673	1084	524
674	1086	523
675	1087	521
676	1089	519
677	1091	518
678	1092	516
679	1094	514
680	1095	513
681	1097	511
682	1098	509
683	1099	508
684	1101	506
685	1103	504
686	1104	503
687	1106	501
688	1108	500
689	1109	498
690	1111	496
691	1112	495
692	1114	493
693	1115	491
694	1117	490
695	1118	488
696	1120	487
697	1121	485
698	1123	483
699	1124	481
700	1126	480
701	1127	478
702	1129	477
703	1130	475
704	1132	473
705	1134	472
706	1136	470
707	1137	469
708	1139	467
709	1141	466
710	1142	464
711	1143	462
712	1145	461
713	1146	459
714	1148	457
715	1150	456
716	1152	454
717	1155	453
718	1156	452
719	1158	450
720	1160	449
721	1162	447
722	1164	446
723	1166	444
724	1167	443
725	1169	441
726	1171	440
727	1173	438
728	1175	436
729	1177	435
730	1178	433
731	1180	432
732	1182	430
733	1184	429
734	1186	427
735	1187	426
736	1189	424
737	1191	423
738	1193	421
739	1195	419
740	1197	418
741	1198	416
742	1200	415
743	1202	413
744	1203	412
745	1205	410
746	1207	408
747	1208	407
748	1210	405
749	1212	404
750	1214	402
751	1216	401
752	1218	399
753	1221	398
754	1223	397
755	1226	395
756	1228	394
757	1230	392
758	1232	391
759	1234	389
760	1237	388
761	1239	387
762	1240	385
763	1243	384
764	1245	382
765	1247	380
766	1249	379
767	1251	377
768	1253	376
769	1254	374
770	1256	373
771	1259	371
772	1261	370
773	1263	368
774	1264	367
775	1266	365
776	1268	364
777	1270	362
778	1272	361
779	1274	359
780	1276	357
781	1278	356
782	1280	354
783	1281	353
784	1283	351
785	1285	349
786	1286	348
787	1288	346
788	1290	345
789	1292	343
790	1294	342
791	1296	340
792	1297	338
793	1299	337
794	1301	335
795	1302	333
796	1304	332
797	1306	330
798	1308	329
799	1310	327
800	1312	326
801	1313	324
802	1315	322
803	1317	321
804	1319	319
805	1320	317
806	1322	316
807	1324	314
808	1326	313
809	1328	311
810	1330	309
811	1331	308
812	1332	306
813	1334	304
814	1335	303
815	1337	301
816	1339	299
817	1340	298
818	1343	296
819	1344	295
820	1346	293
821	1347	291
822	1349	290
823	1350	288
824	1352	286
825	1354	285
826	1355	283
827	1357	281
828	1358	280
829	1360	278
830	1361	276
831	1363	275
832	1364	273
833	1366	271
834	1367	270
835	1369	268
836	1371	267
837	1372	265
838	1374	263
839	1375	262
840	1377	260
841	1378	258
842	1380	257
843	1381	255
844	1383	253
845	1385	252
846	1386	250
847	1388	248
848	1389	247
849	1390	245
850	1392	243
851	1393	242
852	1395	240
853	1396	238
854	1398	237
855	1399	235
856	1401	233
857	1402	232
858	1404	230
859	1405	228
860	1407	227
861	1408	225
862	1410	223
863	1411	222
864	1412	220
865	1414	218
866	1415	217
867	1417	215
868	1419	213
869	1421	212
870	1422	210
871	1423	209
872	1425	207
873	1426	205
874	1428	204
875	1429	202
876	1431	200
877	1432	199
878	1434	197
879	1436	195
880	1437	194
881	1439	192
882	1440	190
883	1442	189
884	1443	187
885	1445	185
886	1446	184
887	1448	182
888	1450	181
889	1451	179
890	1453	177
891	1454	176
892	1456	174
893	1457	172
894	1459	171
895	1460	169
896	1462	167
897	1464	166
898	1466	164
899	1467	163
900	1468	161
901	1470	159
902	1471	158
903	1473	156
904	1474	154
905	1476	153
906	1477	151
907	1479	149
908	1481	148
909	1482	146
910	1484	145
911	1485	143
912	1487	141
913	1488	140
914	1490	138
915	1491	136
916	1493	135
917	1494	133
918	1496	131
919	1498	130
920	1499	128
921	1501	126
922	1502	125
923	1503	123
924	1505	122
925	1506	120
926	1508	118
927	1509	117
928	1511	115
929	1513	113
930	1514	112
931	1516	110
932	1517	108
933	1519	107
934	1520	105
935	1521	104
936	1523	102
937	1524	100
938	1526	99
939	1528	97
940	1529	95
941	1531	94
942	1532	92
943	1534	91
944	1536	89
945	1538	87
946	1539	86
947	1541	84
948	1543	82
949	1545	81
950	1546	79
951	1548	78
952	1550	76
953	1551	74
954	1552	73
955	1554	71
956	1555	69
957	1557	68
958	1559	66
959	1560	65
960	1562	63
961	1564	61
962	1565	60
963	1567	58
964	1568	56
965	1570	55
966	1571	53
967	1573	52
968	1574	50
969	1576	48
970	1577	47
971	1578	45
972	1580	43
973	1581	42
974	1583	40
975	1585	38
976	1586	37
977	1588	35
978	1589	34
979	1591	32
980	1593	30
981	1595	29
982	1596	27
983	1598	25
984	1599	24
985	1601	22
986	1602	21
987	1603	19
988	1605	17
989	1607	16
990	1609	14
991	1610	12
992	1612	11
993	1613	9
994	1615	8
995	1616	6
996	1618	4
997	1619	3
998	1621	1
999	1623	0
